ENTREZ_ID,GENESYMBOLS
900,AT3G46890
901,AT1G55210
902,AT1G27435
903,AT5G48780
904,AT1G50780
905,AtHB23
906,AT5G54855
907,AT3G51250
908,AT3G24065
909,AT2G47690
910,SUT2
911,AT2G41312
912,MES7
913,CIPK15
914,AT3G25400
915,AT2G17010
916,ATR2
917,AT5G44050
918,CYP71B14
919,AT1G63960
920,AT3G60260
921,CMT1
922,AT5G63390
923,AT4G01700
924,AT1G49590
925,DEG14
926,AT5G53940
927,AT1G50180
928,AT2G21290
929,AT4G00585
930,AT5G32620
931,AT4G16960
932,AT5G46020
933,AT2G30960
934,AT5G57565
935,AGAL2
936,AT2G39360
937,AGG2
938,XXT5
939,AT1G01930
940,AT3G46110
941,NdhU
942,AT5G18550
943,AT1G19485
944,AOX1A
945,TINY2
946,SSL3
947,AT5G65610
948,AT2G43780
949,AT2G05185
950,AT1G01630
951,AT4G02620
952,AT5G42360
953,LTPG1
954,AT1G33200
955,AT1G10120
956,AT1G29430
957,MBD11
958,AT5G67150
959,JR1
960,RRP41
961,PFD6
962,AT1G27120
963,QPT
964,AT3G54390
965,AT2G21260
966,AT4G09950
967,AT1G55460
968,AT4G01350
969,NDPK3
970,ABCI19
971,LSH1
972,AT5G12940
973,AT3G15710
974,NDL2
975,MEE4
976,TET15
977,AT1G05205
978,AT1G67950
979,AT3G58600
980,AT2G47630
981,NEK4
982,AT3G20430
983,AT1G04590
984,BCAT3
985,ABCA4
986,AT2G14520
987,CEP3
988,AT1G54450
989,AT3G59650
990,AT1G09580
991,AT5G16350
992,AT3G06035
993,MAF5
994,AT3G23930
995,AT5G02670
996,SDIR1
997,UNE2
998,GDPD4
999,EPF1
1000,AT2G26220
1001,AVA-P4
1002,AT5G58020
1003,LCV1
1004,CYTOSLEEPER
1005,EMB2816
1006,AT1G35510
1007,MSBP1
1008,AT4G25920
1009,AT4G19865
1010,AT2G04850
1011,ALDH3H1
1012,AT5G47180
1013,AT1G24577
1014,AT3G06950
1015,YLS7
1016,CSLG3
1017,AT3G24070
1018,AT4G19010
1019,AT4G01590
1020,AT1G75810
1021,AT4G34180
1022,AT5G66240
1023,AT4G04223
1024,AT5G15360
1025,AT5G42445
1026,AL1
1027,AT1G71180
1028,CCP2
1029,BS14A
1030,AT3G12587
1031,AT5G25560
1032,AT5G25990
1033,ORF240A
1034,HRS1
1035,AT4G32670
1036,AT1G62914
1037,AT1G68585
1038,AT4G29590
1039,AT2G27340
1040,MPI7
1041,IDD1
1042,AT1G48860
1043,TSC10A
1044,LUL1
1045,PTAC5
1046,AT1G49640
1047,PH1
1048,AT3G44220
1049,AT2G18180
1050,AT4G16450
1051,AT3G57990
1052,U2.5
1053,APRL4
1054,AT1G51430
1055,ROPGAP3
1056,AT1G48390
1057,AT4G01925
