GENESYMBOLS,ENTREZ_ID,,
AT1G05780,776,,
MED21,777,,
AT5G03490,778,,
AT5G02070,779,,
VHA-C3,780,,
UBC36,781,,
AT2G23985,782,,
COR413-PM2,783,,
AT5G23950,784,,
DAL1,785,,
AT1G23465,786,,
AT4G01650,787,,
SPL2,788,,
AT5G11930,789,,
PGLP2,790,,
APT3,791,,
AT5G38610,792,,
AT4G32930,793,,
AT5G52580,794,,
AT4G10990,795,,
AT1G70885,796,,
ATARD2,797,,
ATDAD1,798,,
VATPD,799,,
ECI1,800,,
VTC4,801,,
CYP71A23,802,,
AT4G38090,803,,
AT5G42146,804,,
AT2G40460,805,,
AT2G07765,806,,
LPPgamma,807,,
AT2G27290,808,,
PPOX,809,,
ATPUP13,810,,
AT3G22770,811,,
AT2G32795,812,,
AT1G49370,813,,
AT1G13880,814,,
GSTZ2,815,,
AT2G22905,816,,
AT4G01150,817,,
AT4G10330,818,,
AT5G17530,819,,
TOM20-4,820,,
AT2G36835,821,,
AT1G70985,822,,
AT4G30010,823,,
NIA2,824,,
EDL2,825,,
AT2G20950,826,,
SDH6,827,,
AT1G70505,828,,
FRO1,829,,
TH9,830,,
NRT2.7,831,,
AT4G39235,832,,
BRG3,833,,
AT3G12510,834,,
AT2G41120,835,,
AT5G14550,836,,
AT4G22753,837,,
AT2G35450,838,,
AT1G18490,839,,
AT4G03175,840,,
AT5G46450,841,,
NRT1:2,842,,
AT3G02070,843,,
AT2G38180,844,,
ISI1,845,,
AT2G04820,846,,
GBSS1,847,,
GAMMA CA2,848,,
DRT101,849,,
AT3G21805,850,,
GSTL3,851,,
RHD1,852,,
GTR1,853,,
AT2G19650,854,,
AT3G02300,855,,
RAN-1,856,,
CYP71B35,857,,
AT3G16120,858,,
AT1G67300,859,,
AP19,860,,
AT2G35840,861,,
EXO70D1,862,,
LTP,863,,
AT3G46484,864,,
cPT4,865,,
AT5G63370,866,,
AT3G04660,867,,
AT5G45790,868,,
WIH1,869,,
AT1G45010,870,,
c-NAD-MDH2,871,,
AT1G52730,872,,
AT4G13000,873,,
TIR,874,,
AT1G63570,875,,
AT3G02510,876,,
AT5G46440,877,,
AT4G14090,878,,
AT5G50110,879,,
TUF,880,,
AT1G23970,881,,
SWEET17,882,,
LOV1,883,,
SMAP1,884,,
AT3G06760,885,,
AUF1,886,,
CRK27,887,,
TMT3,888,,
AT5G63150,889,,
AT5G14450,890,,
AT1G11330,891,,
PRF3,892,,
PPT2,893,,
scpl10,894,,
AAE12,895,,
AT3G30740,896,,
AT1G10330,897,,
GLYR2,898,,
AT5G04910,899,,
AT3G46890,900,,
AT1G55210,901,,
AT1G27435,902,,
AT5G48780,903,,
AT1G50780,904,,
AtHB23,905,,
AT5G54855,906,,
AT3G51250,907,,
AT3G24065,908,,
AT2G47690,909,,
SUT2,910,,
AT2G41312,911,,
MES7,912,,
CIPK15,913,,
AT3G25400,914,,
AT2G17010,915,,
ATR2,916,,
AT5G44050,917,,
CYP71B14,918,,
AT1G63960,919,,
AT3G60260,920,,
CMT1,921,,
AT5G63390,922,,
AT4G01700,923,,
AT1G49590,924,,
DEG14,925,,
AT5G53940,926,,
AT1G50180,927,,
AT2G21290,928,,
AT4G00585,929,,
AT5G32620,930,,
AT4G16960,931,,
AT5G46020,932,,
AT2G30960,933,,
AT5G57565,934,,
AGAL2,935,,
AT2G39360,936,,
AGG2,937,,
XXT5,938,,
AT1G01930,939,,
AT3G46110,940,,
NdhU,941,,
AT5G18550,942,,
AT1G19485,943,,
AOX1A,944,,
TINY2,945,,
SSL3,946,,
AT5G65610,947,,
AT2G43780,948,,
AT2G05185,949,,
AT1G01630,950,,
AT4G02620,951,,
AT5G42360,952,,
LTPG1,953,,
AT1G33200,954,,
AT1G10120,955,,
AT1G29430,956,,
MBD11,957,,
AT5G67150,958,,
JR1,959,,
RRP41,960,,
PFD6,961,,
AT1G27120,962,,
QPT,963,,
AT3G54390,964,,
AT2G21260,965,,
AT4G09950,966,,
AT1G55460,967,,
AT4G01350,968,,
NDPK3,969,,
ABCI19,970,,
LSH1,971,,
AT5G12940,972,,
AT3G15710,973,,
NDL2,974,,
MEE4,975,,
TET15,976,,
AT1G05205,977,,
AT1G67950,978,,
AT3G58600,979,,
AT2G47630,980,,
NEK4,981,,
AT3G20430,982,,
AT1G04590,983,,
BCAT3,984,,
ABCA4,985,,
AT2G14520,986,,
CEP3,987,,
AT1G54450,988,,
AT3G59650,989,,
AT1G09580,990,,
AT5G16350,991,,
AT3G06035,992,,
MAF5,993,,
AT3G23930,994,,
AT5G02670,995,,
SDIR1,996,,
UNE2,997,,
GDPD4,998,,
EPF1,999,,
AT2G26220,1000,,
AVA-P4,1001,,
AT5G58020,1002,,
LCV1,1003,,
CYTOSLEEPER,1004,,
EMB2816,1005,,
AT1G35510,1006,,
MSBP1,1007,,
AT4G25920,1008,,
AT4G19865,1009,,
AT2G04850,1010,,
ALDH3H1,1011,,
AT5G47180,1012,,
AT1G24577,1013,,
AT3G06950,1014,,
YLS7,1015,,
CSLG3,1016,,
AT3G24070,1017,,
AT4G19010,1018,,
AT4G01590,1019,,
AT1G75810,1020,,
AT4G34180,1021,,
AT5G66240,1022,,
AT4G04223,1023,,
AT5G15360,1024,,
AT5G42445,1025,,
AL1,1026,,
AT1G71180,1027,,
CCP2,1028,,
BS14A,1029,,
